Block,SongFile,Date,Time,Played,Birds:,WH20,WH18,WH13,Wh14,WH17,GR11,WH15,WH23,WH12 (22),Notes
1,BOD.wav,2019-04-25,06:32:13,1,,0,0,1,1,1,1,0,1,0,
1,BDY.wav,2019-04-25,08:01:19,1,,0,0,1,1,1,1,0,1,0,
1,LNR.wav,2019-04-25,09:31:32,1,,0,0,1,0,1,0,0,0,0,
1,ND.wav,2019-04-25,11:01:20,1,,0,0,1,1,1,1,0,0,0,
1,2M.wav,2019-04-25,12:31:20,1,,0,0,0,1,1,1,0,1,0,
1,LB.wav,2019-04-25,15:31:20,1,,0,0,0,0,1,1,0,1,0,
1,DMG.wav,2019-04-25,17:01:21,1,,0,0,0,0,1,0,0,1,0,
1,GRG.wav,2019-04-26,06:32:23,1,,0,0,0,0,0,0.5,0,0,0,
1,DBR.wav,2019-04-26,08:02:19,1,,0,0,0,0,1,0,0,0,0,
1,WG.wav,2019-04-26,09:31:39,1,,0,0,0,0,1,0,0,0,0,
2,GRG.wav,2019-04-26,11:01:20,1,,0,0,0,0,0,0,0,0,0,
2,ND.wav,2019-04-26,12:31:20,1,,0,0,1,0.5,1,1,0,1,0,
2,DBR.wav,2019-04-26,15:31:21,1,,0,0,0,0,1,0,0,0,0,
2,BDY.wav,2019-04-26,17:01:21,1,,0,0,0,0,0,0,0,0,0,
2,DMG.wav,2019-04-27,06:32:16,1,,0,0,0,0,0,0,0,0,0,
2,LB.wav,2019-04-27,08:01:21,1,,0,0,0,0,0,0,0,0,0,
2,BOD.wav,2019-04-27,09:31:19,1,,0,0,0,0,0,0,0,0,0,
2,LNR.wav,2019-04-27,11:01:21,1,,0,0,0,0,0,0,0,0,0,
2,2M.wav,2019-04-27,12:31:21,1,,0,0,0,0,1,0,0,1,0,
2,WG.wav,2019-04-27,15:31:20,1,,0,0,0,0,1,1,0,0,0,
3,DBR.wav,2019-04-27,17:01:22,1,,0,0,0,0,0,0,0,0,0,
3,BOD.wav,2019-04-28,06:32:22,1,,0,0,0,0,0,0,0,0,0,
3,BDY.wav,2019-04-28,08:01:25,1,,0,0,0,0,0,0,0,0,0,
3,LNR.wav,2019-04-28,09:31:20,1,,0,,,,,,,,,
3,GRG.wav,2019-04-28,11:01:18,1,,0,,,,,,,,,
3,2M.wav,2019-04-28,12:34:33,1,,0,,,,,,,,,Tech interruption
3,ND.wav,2019-04-28,15:31:22,1,,0,0,0,0,0,0,0,0.5,0,
3,DMG.wav,2019-04-28,17:01:19,1,,0,,,,,,,,,
