Block,SongFile,Date,Time,Played,Birds:,BK24,WH19,WH16,WH24,BK21,LB20,BK17,GR13,WH22,Notes
1,LNR.wav,5/17/2019,17:13:31,1,,,1,1,1,,1,,1,1,
1,ND.wav,5/17/2019,18:31:20,1,,1,1,1,1,0.5,1,,1,1,
1,2M.wav,5/18/2019,7:04:02,1,,,,1,1,,1,,1,1,
1,LB.wav,5/18/2019,8:32:59,1,,,,1,,,1,,,,
1,DMG.wav,5/18/2019,11:31:20,1,,1,1,1,1,,1,,,1,
1,BOD.wav,5/18/2019,13:01:20,1,,1,1,1,1,,1,,1,1,
1,BDY.wav,5/18/2019,15:31:21,1,,0.5,1,1,1,,1,,,0.5,
1,GRG.wav,5/18/2019,17:01:20,1,,0,1,1,1,,1,,1,1,
1,DBR.wav,5/18/2019,18:31:19,1,,0.5,1,1,1,,1,,,,bird 0 obscured 
1,WG.wav,5/19/2019,7:03:45,1,,0.5,,1,0.5,,1,,1,1,
2,GRG.wav,5/19/2019,8:33:11,1,,,,,,,,,,,no postures
2,ND.wav,5/19/2019,10:01:20,1,,1,1,1,,,1,,,1,
2,DBR.wav,5/19/2019,11:31:21,1,,,,1,,,,,,,
2,BDY.wav,5/19/2019,13:01:21,1,,1,1,1,1,,1,,,1,
2,DMG.wav,5/19/2019,15:31:20,1,,1,,,,,,,,,
2,LB.wav,5/19/2019,17:01:19,1,,0.5,1,1,,,1,,,0.5,
2,BOD.wav,5/19/2019,18:31:19,1,,,,0.5,,,,,0.5,1,
2,LNR.wav,5/20/2019,7:03:50,1,,1,0.5,1,,,1,,,1,
2,2M.wav,5/20/2019,8:34:09,1,,,,,,,,,,,no postures
2,WG.wav,5/20/2019,10:01:29,1,,1,,1,1,,,,,0.5,
3,DBR.wav,5/20/2019,11:32:07,1,,0.5,,,,,,,,,
3,BOD.wav,5/20/2019,13:01:19,1,,1,,1,,,,,,1,
3,BDY.wav,5/20/2019,15:31:20,1,,0.5,,1,,,1,,,1,
3,LNR.wav,5/20/2019,17:01:20,1,,,,,,,,,,,no postures
3,GRG.wav,5/20/2019,18:31:20,1,,,,,,,,,,0.5,
