Source,SeqName,Posture,Bird,Song,Block,Notes,Server,PostureStamp,PostureDuration,Posture Score,PartialStamp,PartialDuration,WingStamp,StartleStamp,LookStamp,PuffStamp,LegStamp,TimeStamp
birdview,2017_05_25_no_bird,0,0,0,,bad,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-26-10-15-30,0,0,0,,calibration,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-30-15-57-34,0,LB6,0,0,no song,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-30-16-04-48,0,LB6,BDY,1,,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-09-52-19,0,LB6,BDY,2,,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-10-00-21,0,LB6,BDY,3,she looks hot,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-11-39-51,0,LB6,0,4,,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-11-48-24,0,LB6,0,5,,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-11-57-48,1,LB6,BDY,6,big posture,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-13-02-21,0,LB6,BDY,7,song is quiet-one playback,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-13-05-59,0,LB6,BDY,8,,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-13-37-34,0,LB6,0,9,,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-13-40-42,0,LB6,0,10,0,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-14-07-36,1,LB6,BDY,11,,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-14-45-50,2,LB6,BDY,12,very partial-worth looking at,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-15-49-20,0,LB6,BDY,13,perked up,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-05-31-17-03-16,0,LB6,BDY,14,sound seems off,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-06-01-08-47-39,0,LB6,0,15,delete,kostas-ap/birds/birdview,,,,,,,,,,,
birdview,2017-06-01-08-55-11,1,LB6,BDY,16,good cloaca,kostas-ap/birds/birdview,,,,,,,,,,,
