Posture,BirdID,Bird,Block,SongID,Song,Aviary,SongSet,Duration,Latency,AvgPotency,B1Potency,AvgRank,B1Rank,BlockResponseRate,LowResponse,WrongResponseRate,Prefix,MaxVelocity,PeakHeight,BVPotency
1.0000,P1,0,0,BDY,0,0,0,,,0.9600,1.0000,1.0000,2.0000,0.4000,False,0.5000,BV.2019.06.05-13.16,,,0.8625
1.0000,P1,0,0,BOD,1,0,0,9.0000,0.9240,0.8889,1.0000,3.0000,2.0000,0.4000,False,0.5000,BV.2019.06.05-13.16,,,0.6973684210526315
1.0000,P1,0,0,LB,3,0,0,,,0.8800,,4.0000,9.5000,0.4000,False,0.5000,BV.2019.06.05-13.16,,,0.5866666666666667
0.0000,P1,0,0,DMG,9,0,0,,,0.7826,,5.0000,9.5000,0.6000,False,0.5000,BV.2019.06.05-13.16,,,0.6103896103896104
2.0000,P1,0,0,BDY-,10,0,0,,,0.9167,1.0000,2.0000,2.0000,0.6000,False,0.5000,BV.2019.06.05-13.16,,,0.9230769230769231
0.0000,P1,0,0,LB-,12,0,0,,,0.6400,0.5000,6.0000,4.0000,0.6000,False,0.5000,BV.2019.06.05-13.16,,,0.8888888888888888
1.0000,P1,0,1,BOD,1,0,0,,,0.8889,1.0000,3.0000,2.0000,0.3333,False,0.5000,BV.2019.06.05-13.16,,,0.6973684210526315
1.0000,P1,0,1,DMG,9,0,0,,,0.7826,,5.0000,9.5000,0.3333,False,0.5000,BV.2019.06.05-13.16,,,0.6103896103896104
0.0000,P1,0,1,BDY-,10,0,0,,,0.9167,1.0000,2.0000,2.0000,0.6667,False,0.5000,BV.2019.06.05-13.16,,,0.9230769230769231
0.0000,P1,0,1,LB-,12,0,0,,,0.6400,0.5000,6.0000,4.0000,0.6667,False,0.5000,BV.2019.06.05-13.16,,,0.8888888888888888
1.0000,P1,0,2,BDY,0,0,0,5.0000,0.9500,0.9600,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.8625
1.0000,P1,0,2,BOD,1,0,0,2.0000,1.0610,0.8889,1.0000,3.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6973684210526315
1.0000,P1,0,3,BDY,0,0,0,6.0000,0.9410,0.9600,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.8625
1.0000,P1,0,3,BOD,1,0,0,6.0000,1.1830,0.8889,1.0000,3.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6973684210526315
1.0000,P1,0,4,BDY,0,0,0,6.0000,1.0810,0.9600,1.0000,1.0000,2.0000,,False,1.0000,BV.2019.06.05-13.16,,,0.8625
1.0000,P1,0,5,BDY,0,0,0,9.0000,0.9310,0.9600,1.0000,1.0000,2.0000,,False,1.0000,BV.2019.06.05-13.16,,,0.8625
1.0000,P1,0,6,BDY,0,0,0,9.0000,1.5750,0.9600,1.0000,1.0000,2.0000,0.0000,False,0.5000,BV.2019.06.05-13.16,,,0.8625
0.0000,P1,0,6,DMG,9,0,0,,,0.7826,,5.0000,9.5000,1.0000,False,0.5000,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,0,BOD,1,0,0,5.0000,0.4220,0.7692,1.0000,2.0000,2.0000,0.0000,False,0.5000,BV.2019.06.05-13.16,,,0.6973684210526315
2.0000,Y1,1,0,LB-,12,0,0,5.0000,0.3060,0.2000,0.5000,6.0000,4.5000,1.0000,False,0.5000,BV.2019.06.05-13.16,0.0022302990734835992,0.32213695333507636,0.8888888888888888
1.0000,Y1,1,1,BDY,0,0,0,7.0000,0.1640,0.9286,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.004441970927396233,0.339011761574339,0.8625
1.0000,Y1,1,1,BOD,1,0,0,7.0000,0.3340,0.7692,1.0000,2.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.004101718706562341,0.33170590268908173,0.6973684210526315
1.0000,Y1,1,1,LB,3,0,0,5.0000,0.4420,0.6667,1.0000,3.5000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.0034509824482199525,0.3294149857978215,0.5866666666666667
1.0000,Y1,1,1,DMG,9,0,0,4.0000,0.7270,0.6250,0.0000,5.0000,10.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.0022259194755124834,0.3063830575506212,0.6103896103896104
1.0000,Y1,1,1,BDY-,10,0,0,6.0000,0.1390,0.6667,0.5000,3.5000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.0028356293838508184,0.3152087367950379,0.9230769230769231
1.0000,Y1,1,1,LB-,12,0,0,6.0000,0.4500,0.2000,0.5000,6.0000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.0046897619561215576,0.32045643972320786,0.8888888888888888
1.0000,Y1,1,2,BDY,0,0,0,7.0000,0.4260,0.9286,1.0000,1.0000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.8625
1.0000,Y1,1,2,LB,3,0,0,6.0000,0.3690,0.6667,1.0000,3.5000,2.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,0.005431961431906218,0.3360848169553285,0.5866666666666667
1.0000,Y1,1,2,DMG,9,0,0,6.0000,0.4280,0.6250,0.0000,5.0000,10.0000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.6103896103896104
1.0000,Y1,1,2,BDY-,10,0,0,7.0000,0.4710,0.6667,0.5000,3.5000,4.5000,1.0000,False,1.0000,BV.2019.06.05-13.16,,,0.9230769230769231
